"ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude"
"a3b1ff34-a135-11e9-9cda-0a87ae2ba916","Ashland Ave & McDowell Ave","11","11","In Service","41.809719","-87.663477"
"1926946441362045298","Laramie Ave & Addison St","15","15","In Service","41.9456842","-87.7569344"
"2077281011067546052","Dearborn St & Adams St Corral","32","32","In Service","41.87939","-87.62988"
"2077281011419801870","LaSalle St & Adams St Corral","52","52","In Service","41.87938","-87.63208"
"2077281007607419042","LaSalle St & Jackson Blvd Corral","52","52","In Service","41.87816","-87.63204"
"1934288718318207280","Meade Ave & Fullerton Ave","15","15","In Service","41.924751","-87.778272"
"a3a974e1-a135-11e9-9cda-0a87ae2ba916","Stetson Ave & South Water St","19","19","In Service","41.886835","-87.62232"
"1965903932548317228","Burley Ave & 91st St","15","15","In Service","41.73054","-87.54558"
"2038265780361703964","Austin Ave & Milwaukee Ave","9","9","In Service","41.98736","-87.77805"
"1594046443937813244","Western Ave & Gunnison St","12","12","In Service","41.969659","-87.68955"
"1563698688321392630","Long Ave & Belden Ave","12","12","In Service","41.9227049","-87.760954"
"a3b26acf-a135-11e9-9cda-0a87ae2ba916","State St & 79th St","11","11","In Service","41.750794","-87.624424"
"1991481183241069158","Michigan Ave & 113th St","16","16","In Service","41.68905","-87.62079"
"a3b4963f-a135-11e9-9cda-0a87ae2ba916","Evanston Civic Center","15","15","In Service","42.057044","-87.686554"
"a3b37ce0-a135-11e9-9cda-0a87ae2ba916","Delano Ct & Roosevelt Rd","19","19","In Service","41.867491","-87.63219"
"2116535105529053970","Morgan St & Hubbard St","15","15","In Service","41.89012","-87.65251"
"a3a4591a-a135-11e9-9cda-0a87ae2ba916","Larrabee St & Kingsbury St","43","43","In Service","41.897764","-87.642884"
"a3b2dcf0-a135-11e9-9cda-0a87ae2ba916","Wabash Ave & 87th St","11","11","In Service","41.7365530183","-87.6226441562"
"a3a3d6f0-a135-11e9-9cda-0a87ae2ba916","Orleans St & Elm St","15","15","In Service","41.902924","-87.637715"
"1594046413873042132","Western Ave & Grace St","12","12","In Service","41.95039","-87.688234"
"1575949510978564830","Central Park Ave & Ohio St","12","12","In Service","41.8918718","-87.7163879"
"a3afb401-a135-11e9-9cda-0a87ae2ba916","Monticello Ave & Irving Park Rd","15","15","In Service","41.9540048388","-87.7191281797"
"a3b2862e-a135-11e9-9cda-0a87ae2ba916","Bennett Ave & 79th St","11","11","In Service","41.751785","-87.578496"
"1575949510978564828","North Ave & New England Ave","12","12","In Service","41.9092204","-87.7971406"
"a3aca268-a135-11e9-9cda-0a87ae2ba916","Sacramento Blvd & Franklin Blvd","11","11","In Service","41.8904687924","-87.7026075125"
"a3a7dc8c-a135-11e9-9cda-0a87ae2ba916","St. Clair St & Erie St","19","19","In Service","41.8943451374","-87.6227983832"
"1927695368784189454","Kildare Ave & North Ave","15","15","In Service","41.9095392","-87.7338518"
"1753333909108677614","Hastings LWS","4","4","In Service","41.8635164","-87.6797485"
"1594046405283107528","California & 16th St","12","12","In Service","41.859228","-87.695562"
"1436495115557663136","N Southport Ave & W Newport Ave","10","10","In Service","41.944019","-87.663975"
"1594046396693172926","Albany Ave & 16th St","12","12","In Service","41.85936","-87.70302"
"1594046400988140226","Sacramento Ave & 25th St","12","12","In Service","41.846506","-87.700139"
"1594046431052911340","Campbell Ave & Irving Park Rd","12","12","In Service","41.953634","-87.690782"
"1594041785694887806","Kenneth Ave & 50th St","8","8","In Service","41.8023156","-87.7344142"
"1594046426757944042","Western Ave & Berteau Ave","8","8","In Service","41.95774","-87.688273"
"1563698718386161690","Oak Park & Wellington","12","12","In Service","41.934586","-87.7959613"
"1594046413873042136","Sacramento Blvd & Addison St","12","12","In Service","41.94609","-87.702988"
"1594046422462976736","Rockwell St & Fletcher St","12","12","In Service","41.938689","-87.692972"
"2022391749515739924","Steelworkers Park (Updated)","8","8","In Service","41.737948","-87.530836"
"1436495109493626546","N Green St & W Lake St","6","6","In Service","41.885579","-87.648484"
"1448642175142467180","S Michigan Ave & E 118th St","8","8","In Service","41.679804","-87.620843"
"1594046388103238326","Sacramento Blvd & Polk St","12","12","In Service","41.870959","-87.700259"
"1594046418168009438","Albany Ave & Belmont Ave","12","12","In Service","41.939638","-87.705263"
"1436495105198659242","W Armitage Ave & N Sheffield Ave","6","6","In Service","41.917805","-87.653449"
"1561012870126088746","Keeler Ave & Roosevelt Rd","12","12","In Service","41.866402","-87.7300171"
"1594046465420805300","Western Ave & Ardmore Ave","12","12","In Service","41.9867636","-87.6898796"
"1606778059648526978","Whipple/Irving Park","12","12","In Service","41.954189","-87.704448"
"1594046392398205624","Washtenaw Ave & Polk St","12","12","In Service","41.8711028","-87.693683"
"1594046379513303720","Western Ave & Lake St","8","8","In Service","41.884606","-87.685853"
"1448642183732401786","Woodlawn & 103rd","13","13","In Service","41.707338","-87.59399"
"1582242319632586320","Archer Ave & 43rd St","8","8","In Service","41.8154913","-87.7024412"
"1448642188027369086","Indiana Ave & 133rd St","8","8","In Service","41.653564","-87.617054"
"1563698705501259788","Kilpatrick Ave & Parker Ave","12","12","In Service","41.930736","-87.744082"
"1448642179437434486","Martin Luther King Dr & 111th St","8","8","In Service","41.6926389565","-87.6136738648"
"1571105050820616196","Narragansett Ave & School St","12","12","In Service","41.940128","-87.7864806"
"1594046422462976738","Kedzie Ave & George St","12","12","In Service","41.933886","-87.707262"
"1448642162257565290","S Aberdeen St & W 106th St","4","4","In Service","41.701217","-87.649345"
"1436495122378528446","N Paulina St & Lincoln Ave","8","8","In Service","41.943838","-87.671469"
